Science_Park,Sub_Science_Park,County,Town,Temp_Station_ID,Temp_Station_Name,Temp_Station_Longitude,Temp_Station_Latitude,Year_CN,Year_EN,Month_CN,Month_EN,Month_NUM,Avg_Temperature,Electricity_Usage
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,107年,2018,十月,October,10,22.9,128.13
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,107年,2018,十一月,November,11,21.7,131.15
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,107年,2018,十二月,December,12,18.6,130.95
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,一月,January,1,17.1,131.09
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,二月,February,2,17.3,125.2
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,三月,March,3,18.8,131.09
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,四月,April,4,23.1,132.56
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,五月,May,5,24.3,133.99
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,六月,June,6,27.8,134.83
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,七月,July,7,29.6,134.33
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,八月,August,8,28.9,135.78
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,九月,September,9,26.9,135.87
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,十月,October,10,24.8,134.62
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,十一月,November,11,21.4,137.67
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,108年,2019,十二月,December,12,18.1,115.0
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,一月,January,1,16.6,115.0
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,二月,February,2,17.4,111.9
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,三月,March,3,19.8,116.92
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,四月,April,4,20.2,115.92
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,五月,May,5,26.2,124.37
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,六月,June,6,29.1,128.55
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,七月,July,7,30.0,132.29
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,八月,August,8,29.2,131.71
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,九月,September,9,27.3,132.17
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,十月,October,10,24.6,125.75
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,十一月,November,11,23.0,124.26
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,109年,2020,十二月,December,12,17.8,116.21
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,一月,January,1,15.2,116.59
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,二月,February,2,17.8,113.48
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,三月,March,3,19.0,120.68
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,四月,April,4,21.9,123.31
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,五月,May,5,27.3,130.93
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,六月,June,6,28.5,131.32
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,七月,July,7,29.5,132.75
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,八月,August,8,28.4,133.53
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,九月,September,9,29.1,133.11
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,十月,October,10,25.8,127.43
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,十一月,November,11,21.0,124.21
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,110年,2021,十二月,December,12,17.8,122.33
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,一月,January,1,16.7,118.86
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,二月,February,2,15.5,117.18
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,三月,March,3,19.8,122.3
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,四月,April,4,21.9,124.26
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,五月,May,5,23.0,126.7
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,六月,June,6,27.5,133.44
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,七月,July,7,29.5,137.37
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,八月,August,8,29.2,137.51
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,九月,September,9,27.1,129.61
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,十月,October,10,24.1,125.86
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,十一月,November,11,23.3,124.12
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,111年,2022,十二月,December,12,16.2,116.82
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,一月,January,1,16.0,116.0
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,二月,February,2,16.0,118.3
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,三月,March,3,19.0,120.4
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,四月,April,4,21.8,128.74
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,五月,May,5,25.1,132.72
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,六月,June,6,28.4,139.3
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,七月,July,7,29.6,138.29
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,八月,August,8,29.1,138.43
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,九月,September,9,28.5,136.25
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,十月,October,10,25.0,133.14
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,十一月,November,11,21.7,126.56
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,112年,2023,十二月,December,12,18.2,122.5
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,一月,January,1,15.9,122.84
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,二月,February,2,16.9,128.49
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,三月,March,3,18.9,122.58
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,四月,April,4,24.3,133.34
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,五月,May,5,24.9,128.77
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,六月,June,6,28.4,143.08
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,七月,July,7,29.5,145.21
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,八月,August,8,29.0,143.05
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,九月,September,9,28.5,144.73
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,十月,October,10,25.1,144.28
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,十一月,November,11,21.4,133.95
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,113年,2024,十二月,December,12,16.6,128.97
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,一月,January,1,15.0,127.9
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,二月,February,2,15.1,130.65
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,三月,March,3,17.6,122.82
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,四月,April,4,22.1,135.6
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,五月,May,5,25.2,141.96
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,六月,June,6,28.1,147.42
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,七月,July,7,28.1,155.51
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,八月,August,8,28.8,149.38
新竹科學園區,新竹園區,新竹市,新竹市,C0D660,新竹市東區,120.986942,24.798681,114年,2025,九月,September,9,28.3,152.32
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,一月,January,1,15.6,18.63
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,二月,February,2,15.9,18.6
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,三月,March,3,18.3,18.97
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,四月,April,4,22.2,19.82
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,五月,May,5,25.7,20.32
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,六月,June,6,29.5,21.3
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,七月,July,7,29.2,21.24
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,八月,August,8,28.1,21.09
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,九月,September,9,26.8,20.85
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,十月,October,10,25.1,20.36
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,十一月,November,11,22.9,20.06
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,104年,2015,十二月,December,12,18.2,19.06
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,一月,January,1,15.6,19.1
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,二月,February,2,14.4,19.15
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,三月,March,3,16.4,19.1
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,四月,April,4,23.1,19.9
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,五月,May,5,26.4,20.52
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,六月,June,6,29.2,21.12
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,七月,July,7,30.0,20.69
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,八月,August,8,28.7,20.75
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,九月,September,9,27.5,19.23
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,十月,October,10,26.4,19.62
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,十一月,November,11,22.2,19.42
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,105年,2016,十二月,December,12,19.3,18.86
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,一月,January,1,17.6,18.69
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,二月,February,2,15.4,18.7
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,三月,March,3,17.4,18.75
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,四月,April,4,21.7,18.99
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,五月,May,5,25.1,19.45
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,六月,June,6,27.6,19.99
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,七月,July,7,28.9,20.49
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,八月,August,8,29.7,20.45
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,九月,September,9,28.4,20.66
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,十月,October,10,25.6,21.18
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,十一月,November,11,21.6,19.62
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,106年,2017,十二月,December,12,17.2,18.88
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,107年,2018,一月,January,1,15.9,18.32
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,107年,2018,二月,February,2,14.3,17.84
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,107年,2018,三月,March,3,18.9,18.72
新竹科學園區,竹南園區,苗栗縣,竹南市,C0E420,竹南,120.888897,24.708978,107年,2018,四月,April,4,22.6,19.43
